tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
391128574287,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Gurugram,HR,122002,2020-03-16 10:14:00,2020-03-20 07:29:00,93.25,4,5,80.1,23.3125,True,RESIDENCE,1,True,11
391109027000,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Bhilai,CT,490023,2020-03-14 11:05:00,2020-03-20 10:25:00,143.33333333333334,5,6,110.13333333333334,28.666666666666668,True,RESIDENCE,1,True,14
391049862758,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Mumbai,MH,400086,2020-03-12 10:47:00,2020-03-14 10:30:00,47.71666666666667,4,4,33.43333333333333,11.929166666666667,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
390931989124,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,560048,GURGAON,HR,122002,2020-03-07 10:57:00,2020-03-11 09:49:00,94.86666666666666,4,5,80.9,23.716666666666665,True,RESIDENCE,1,True,11
391195859433,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Hyderabad,TS,500060,2020-03-18 11:38:00,2020-03-20 10:00:00,46.36666666666667,4,4,36.31666666666667,11.591666666666667,True,RESIDENCE,1,True,10
390871742485,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Mysore,KA,570004,2020-03-05 13:50:00,2020-03-06 08:30:00,18.666666666666668,4,3,9.866666666666667,4.666666666666667,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
391049866890,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Visakhapatnam,AP,530017,2020-03-12 10:47:00,2020-03-16 10:56:00,96.15,6,7,62.416666666666664,16.025000000000002,True,RESIDENCE,1,True,13
390948910847,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Mumbai,MH,400097,2020-03-09 09:42:00,2020-03-12 08:15:00,70.55,4,4,41.88333333333333,17.6375,True,RESIDENCE,1,True,14
391018754107,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Nagpur,MH,440010,2020-03-11 11:09:00,2020-03-14 07:47:00,68.63333333333334,4,6,59.05,17.158333333333335,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
280998636780,FEDEX_EXPRESS_SAVER,FDXE,3.8,YOUR_PACKAGING,Mumbai,MH,400012,Surat,GJ,395007,2021-07-03 12:40:00,2021-07-07 12:04:00,95.4,5,7,70.35,19.080000000000002,True,RESIDENCE,2,False,16
281176409884,FEDEX_EXPRESS_SAVER,FDXE,6.0,YOUR_PACKAGING,Mumbai,MH,400012,Hyderabad,TS,500034,2021-07-08 11:23:00,2021-07-13 10:43:00,119.33333333333333,4,5,95.33333333333333,29.833333333333332,True,RESIDENCE,2,False,15
281097610455,FEDEX_EXPRESS_SAVER,FDXE,18.0,YOUR_PACKAGING,Mumbai,MH,400012,Bangalore,KA,560038,2021-07-05 10:43:00,2021-07-09 11:07:00,96.4,4,4,71.65,24.1,True,RESIDENCE,0,,13
281333571565,FEDEX_EXPRESS_SAVER,FDXE,,YOUR_PACKAGING,Mumbai,MH,400012,Mumbai,MH,400088,2021-07-12 13:50:00,2021-07-14 07:05:00,41.25,3,3,24.333333333333332,13.75,True,RECEPTIONIST_OR_FRONT_DESK,2,False,12
281095533884,FEDEX_EXPRESS_SAVER,FDXE,12.0,YOUR_PACKAGING,Goa,GA,403722,Chennai,TN,600050,2021-07-07 13:52:00,2021-07-14 13:23:00,167.51666666666668,4,5,136.13333333333333,41.87916666666667,True,RECEPTIONIST_OR_FRONT_DESK,1,True,13
280267329094,FEDEX_EXPRESS_SAVER,FDXE,20.0,YOUR_PACKAGING,Delhi,DL,110064,Noida,UP,201301,2021-06-11 13:26:00,2021-06-16 05:58:00,112.53333333333333,4,7,107.55,28.133333333333333,True,RECEPTIONIST_OR_FRONT_DESK,0,,18
280267328981,FEDEX_EXPRESS_SAVER,FDXE,20.0,YOUR_PACKAGING,Delhi,DL,110064,Hyderabad,TS,500050,2021-06-11 13:26:00,2021-06-18 11:48:00,166.36666666666667,6,9,155.63333333333333,27.727777777777778,True,IN_BOND_OR_CAGE,0,,16
281038348186,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,400059,Pune,MH,411048,2021-07-03 12:33:00,2021-07-07 10:43:00,94.16666666666667,4,4,71.1,23.541666666666668,True,RESIDENCE,2,False,15
280439181099,FEDEX_EXPRESS_SAVER,FDXE,32.0,YOUR_PACKAGING,Delhi,DL,110064,Chennai,TN,600112,2021-06-16 13:52:00,2021-06-24 12:52:00,191.0,5,5,180.15,38.2,True,RECEPTIONIST_OR_FRONT_DESK,1,True,17
281222569500,FEDEX_EXPRESS_SAVER,FDXE,22.5,YOUR_PACKAGING,Delhi,DL,110064,Jammu,JK,181205,2021-07-09 09:05:00,2021-07-15 12:53:00,147.8,5,5,64.8,29.560000000000002,True,RECEPTIONIST_OR_FRONT_DESK,0,,12
280307632740,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,400059,Pune,MH,411045,2021-06-14 14:01:00,2021-06-16 11:00:00,44.983333333333334,4,4,38.13333333333333,11.245833333333334,True,RESIDENCE,1,True,11
280307633276,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,400059,Pune,MH,411045,2021-06-14 14:01:00,2021-06-16 11:00:00,44.983333333333334,4,4,38.166666666666664,11.245833333333334,True,RESIDENCE,1,True,11
280993568461,FEDEX_EXPRESS_SAVER,FDXE,1.5,YOUR_PACKAGING,Pune,MH,411003,Mumbai,MH,400059,2021-07-03 10:49:00,2021-07-06 05:00:00,66.18333333333334,4,3,41.38333333333333,16.545833333333334,True,RESIDENCE,2,False,12
